data,ano_cmpt,mes_cmpt_n,n_total,n_icsap,taxa_obs,taxa_cf,evitadas_mes,cf_ic_inf,cf_ic_sup
2022-01-01,2022,1,10074,1717,17.044,NA,NA,NA,NA
2022-02-01,2022,2,10628,1747,16.438,NA,NA,NA,NA
2022-03-01,2022,3,11497,1820,15.83,NA,NA,NA,NA
2022-04-01,2022,4,10933,1789,16.363,NA,NA,NA,NA
2022-05-01,2022,5,12543,2033,16.208,NA,NA,NA,NA
2022-06-01,2022,6,11914,1990,16.703,NA,NA,NA,NA
2022-07-01,2022,7,11568,1858,16.062,NA,NA,NA,NA
2022-08-01,2022,8,13765,2267,16.469,NA,NA,NA,NA
2022-09-01,2022,9,11940,1905,15.955,NA,NA,NA,NA
2022-10-01,2022,10,11451,1809,15.798,NA,NA,NA,NA
2022-11-01,2022,11,11488,1886,16.417,NA,NA,NA,NA
2022-12-01,2022,12,12051,2005,16.638,NA,NA,NA,NA
2023-01-01,2023,1,11774,2046,17.377,NA,NA,NA,NA
2023-02-01,2023,2,10512,1824,17.352,NA,NA,NA,NA
2023-03-01,2023,3,12269,2022,16.481,NA,NA,NA,NA
2023-04-01,2023,4,11141,1937,17.386,NA,NA,NA,NA
2023-05-01,2023,5,12277,2201,17.928,NA,NA,NA,NA
2023-06-01,2023,6,12239,2214,18.09,NA,NA,NA,NA
2023-07-01,2023,7,11976,2210,18.454,NA,NA,NA,NA
2023-08-01,2023,8,12284,2023,16.469,NA,NA,NA,NA
2023-09-01,2023,9,12476,2065,16.552,NA,NA,NA,NA
2023-10-01,2023,10,11563,1945,16.821,NA,NA,NA,NA
2023-11-01,2023,11,12133,2089,17.218,NA,NA,NA,NA
2023-12-01,2023,12,11795,1973,16.727,NA,NA,NA,NA
2024-01-01,2024,1,13546,2474,18.264,NA,NA,NA,NA
2024-02-01,2024,2,11639,2439,20.955,NA,NA,NA,NA
2024-03-01,2024,3,13138,3128,23.809,NA,NA,NA,NA
2024-04-01,2024,4,15012,3615,24.081,NA,NA,NA,NA
2024-05-01,2024,5,13351,2933,21.968,21.102,-115.636,19.361,23.092
2024-06-01,2024,6,12687,2581,20.344,21.014,85.032,19.206,23.12
2024-07-01,2024,7,13701,2584,18.86,20.772,261.917,18.89,22.968
2024-08-01,2024,8,13694,2445,17.855,20.497,361.883,18.592,22.724
2024-09-01,2024,9,12911,2536,19.642,20.317,87.076,18.307,22.593
2024-10-01,2024,10,13114,2330,17.767,20.328,335.816,18.154,22.705
2024-11-01,2024,11,12487,2208,17.682,20.582,362.062,18.302,23.161
2024-12-01,2024,12,12394,2137,17.242,21.072,474.646,18.752,23.847
2025-01-01,2025,1,13195,2467,18.696,21.734,400.761,19.239,24.638
2025-02-01,2025,2,12014,2229,18.553,22.455,468.687,19.851,25.587
2025-03-01,2025,3,12601,2297,18.229,23.096,613.358,20.328,26.367
2025-04-01,2025,4,12664,2295,18.122,23.534,685.318,20.607,26.948
2025-05-01,2025,5,13615,2589,19.016,23.697,637.363,20.615,27.27
2025-06-01,2025,6,13411,2426,18.09,23.598,738.71,20.428,27.362
2025-07-01,2025,7,14043,2586,18.415,23.326,689.641,20.094,27.139
2025-08-01,2025,8,13610,2533,18.611,23.018,599.699,19.749,26.89
2025-09-01,2025,9,13553,2445,18.04,22.815,647.095,19.547,26.723
2025-10-01,2025,10,14750,2409,16.332,22.828,958.081,19.426,26.845
2025-11-01,2025,11,12541,2070,16.506,23.113,828.573,19.596,27.434
2025-12-01,2025,12,11996,2074,17.289,23.663,764.61,20.019,28.136
2026-01-01,2026,1,13591,2257,16.607,24.406,1060.046,20.578,29.279
2026-02-01,2026,2,13343,2084,15.619,25.216,1280.526,21.124,30.4
2026-03-01,2026,3,13206,2149,16.273,25.936,1276.147,21.71,31.39
